CellID,X_centroid,Y_centroid,phenotype
3496,23490.953100158986,20306.056438791733,Ki67+ tumor cells 
10197,23438.33755274261,20750.45780590717,M2 macrophages
12772,23858.254098360656,20289.360655737702,stromal cells
16479,24127.921686746988,20553.560240963856,regulatory T cells
18962,23793.518987341773,20286.20253164557,stromal cells
20241,23675.42748091603,20966.58778625954,stromal cells
20323,23871.38532110092,20790.119266055044,stromal cells
23074,24093.588541666668,20451.88020833333,stromal cells
23954,24274.043956043955,20012.92307692308,dendritic cells
32752,23341.165354330707,20749.72440944882,stromal cells
36325,24238.77466367713,20686.59865470852,Ki67+ tumor cells 
41191,23838.0,20262.779310344828,stromal cells
46181,23720.58333333333,20865.555555555555,memory CD4+ T cells
47307,24057.94782608696,20363.869565217392,stromal cells
51010,23593.42276422764,20569.17886178862,stromal cells
60143,23578.53982300885,20512.14159292036,stromal cells
68081,23567.79090909091,20810.448484848486,stromal cells
69386,23409.96631205674,20603.73581560284,Ki67+ tumor cells 
72422,23565.945736434107,20771.46511627907,stromal cells
86844,23556.419540229886,20566.72988505747,stromal cells
87238,23619.64601769912,20936.75221238938,stromal cells
90000,23890.80239520958,20801.31736526946,stromal cells
99900,23880.985185185185,20421.17777777778,stromal cells
100170,23465.728310502283,20363.23287671233,Ki67+ tumor cells 
105599,23678.37908496732,20820.18954248366,stromal cells
106736,23683.615,20757.275,stromal cells
109476,23453.234200743493,20769.762081784385,stromal cells
112358,23514.995762711864,20928.78813559322,stromal cells
113082,23402.93121693121,20880.46031746032,stromal cells
113396,23434.72258064516,20732.90322580645,stromal cells
115987,23499.4074941452,20721.67213114754,stromal cells
118788,24141.768707482992,20233.938775510203,Unknown
120587,23772.222689075632,21020.189075630253,stromal cells
124694,23997.87826086957,20414.478260869564,stromal cells
126224,23579.92088607595,20835.12658227848,stromal cells
126864,24094.736434108527,20793.79069767442,memory CD4+ T cells
127412,23819.22641509434,20183.2893081761,stromal cells
128368,23784.84831460674,20473.455056179777,stromal cells
128839,23844.041420118345,20299.05325443787,stromal cells
129472,23548.495145631063,20381.69417475728,stromal cells
130254,24020.0,20432.0078125,stromal cells
130300,23621.44660194175,20778.11650485437,stromal cells
133031,23798.59375,20569.508928571428,stromal cells
133823,23866.757575757576,20984.06818181818,memory CD4+ T cells
135420,23420.58823529412,20882.486631016043,stromal cells
138610,23652.722222222223,20673.472222222223,stromal cells
139144,24215.22627737226,20116.21167883212,M2 macrophages
139594,23679.88321167884,20904.23357664233,memory CD4+ T cells
144878,23867.31818181818,20242.33116883117,stromal cells
149236,23744.28481012658,20480.67088607595,stromal cells
151162,23966.14814814815,20814.962962962964,stromal cells
152944,23765.68345323741,20925.86330935252,stromal cells
153397,24273.88333333333,20635.643333333333,tumor cells
154351,23519.319912948857,20287.920565832428,Ki67+ tumor cells 
156003,23403.408239700373,20479.48314606741,stromal cells
156201,23320.84892086331,20809.474820143885,stromal cells
157842,24231.47701149425,20243.189655172413,stromal cells
161860,24157.295833333334,20039.904166666667,memory CD8+ T cells
165486,23950.126315789475,20857.084210526315,stromal cells
166382,24238.634615384617,19918.98076923077,stromal cells
166487,24291.830769230768,20003.73076923077,NK
166705,24045.728260869564,19991.402173913044,dendritic cells
170938,23744.46715328468,20989.32116788321,stromal cells
172950,23393.27888446215,20719.03187250996,stromal cells
173519,23447.41552511416,20584.794520547945,stromal cells
175552,23324.79338842976,20751.85950413223,regulatory T cells
176800,23544.81463414634,20663.12682926829,stromal cells
177279,23480.5,20742.69183673469,stromal cells
178559,24044.33064516129,20764.25,stromal cells
184340,24066.43333333333,19975.375,dendritic cells
186329,23560.159863945577,20848.51360544218,stromal cells
188332,24109.430379746835,20420.67721518988,stromal cells
194319,23898.168478260868,20454.429347826088,stromal cells
195862,24165.94135802469,20736.74382716049,stromal cells
198934,24276.2507936508,20590.631746031748,stromal cells
199021,23763.39548022599,20982.870056497177,neutrophils
199277,23814.835443037973,20342.145569620254,memory CD4+ T cells
199754,23787.31100478469,20842.52153110048,memory CD4+ T cells
202103,24328.36683417085,20463.150753768845,stromal cells
202728,23803.3288590604,20202.73154362416,stromal cells
205996,23415.64263322884,20454.7868338558,stromal cells
208297,23556.6,20621.54074074074,stromal cells
208332,23790.023529411767,20729.86470588235,stromal cells
209453,24010.68085106383,20087.75,stromal cells
209885,23848.92397660819,20973.894736842107,stromal cells
212419,24145.844827586207,20190.22988505747,memory CD4+ T cells
213288,23940.35958904109,20148.342465753423,memory CD4+ T cells
213684,23533.3625,20907.925,stromal cells
215120,23812.77653631285,20879.31843575419,stromal cells
215687,24069.046728971964,20652.794392523363,M2 macrophages
215899,23883.90760869565,20162.478260869564,stromal cells
217673,24119.149338374293,19891.661625708886,tumor cells
219951,23913.92356687898,20373.92356687898,stromal cells
221397,23736.24882629108,20466.896713615024,stromal cells
222649,24015.128205128207,20654.432234432235,stromal cells
222673,23867.54054054054,20865.73873873874,stromal cells
225036,23891.35714285714,20300.071428571428,M2 macrophages
226098,23667.24550898204,20516.51497005988,stromal cells
227981,23900.21830985916,20828.21830985916,stromal cells
228556,23580.52631578948,20384.730263157893,stromal cells
229479,24306.35868005739,20602.41893830703,Ki67+ tumor cells 
230371,23737.88118811881,20320.290429042903,NK
230459,24215.039735099337,20689.69536423841,tumor cells
232879,24194.42268041237,20219.73711340206,stromal cells
234006,24042.318840579712,20682.840579710144,stromal cells
235777,23546.66346153846,20786.1217948718,stromal cells
236036,24124.03367003367,20392.430976430976,stromal cells
236955,24198.948,20039.576,stromal cells
237288,23404.87162162162,20776.679054054053,NK
238299,24288.42517006803,20203.568027210884,NK
239997,24188.97,19927.255,stromal cells
240314,23524.036697247702,20441.74311926605,stromal cells
240978,23607.41125541125,20639.42857142857,stromal cells
241638,23859.379888268155,20798.564245810056,stromal cells
241889,24108.10409745293,19922.642303433,Ki67+ tumor cells 
242354,23666.54761904762,20694.75396825397,stromal cells
244879,23725.56544502618,21002.89528795812,stromal cells
246837,23350.03153153153,20760.225225225226,regulatory T cells
246904,23507.062283737025,20900.401384083045,stromal cells
247167,23665.635467980297,20276.472906403946,stromal cells
247784,23555.964788732395,20762.97183098592,stromal cells
248895,24035.704545454544,20220.628787878788,stromal cells
250532,23502.302114803624,20347.477341389727,tumor cells
252512,23973.510067114094,20347.1677852349,M2 macrophages
255578,24027.741176470587,20095.011764705883,M2 macrophages
256085,24200.34136546185,20153.98795180723,memory CD4+ T cells
256126,24116.959731543622,20670.58389261745,NK
257519,24055.03825136612,20673.51912568306,stromal cells
261420,23611.454545454544,20369.37799043062,stromal cells
266820,24102.963414634145,20620.189024390245,memory CD4+ T cells
267896,23900.86,21004.95,CD4+ T cells
270427,24287.289855072464,20076.329710144928,stromal cells
272635,24012.42372881356,20441.9604519774,stromal cells
272992,24100.838297872346,20275.097872340422,stromal cells
274093,23383.642642642644,20772.483483483484,stromal cells
274696,23547.265060240963,20809.777108433736,stromal cells
275430,24097.016759776536,19963.335195530726,stromal cells
275823,24371.44786729858,20528.05213270142,stromal cells
279085,23460.138121546963,20439.6408839779,stromal cells
279320,23899.351145038167,20188.152671755724,memory CD4+ T cells
283315,24245.31481481481,20223.837962962964,stromal cells
289046,24181.26455026455,19864.724867724868,M1/M0 macrophages
289716,23781.915254237287,20214.60169491525,stromal cells
291346,24339.501650165017,20567.40594059406,stromal cells
294188,23860.0710900474,20385.52606635071,memory CD4+ T cells
295349,23824.11971830986,21022.936619718308,stromal cells
296472,23952.894736842107,20419.38157894737,stromal cells
299724,23905.77108433735,20042.373493975905,stromal cells
300522,23732.20625,20499.425,stromal cells
300945,24001.62015503876,20178.74418604651,NK
302114,23450.65151515152,20414.79292929293,stromal cells
305055,24097.770408163266,20212.95408163265,memory CD4+ T cells
307767,23950.80198019802,20242.19801980198,stromal cells
309064,23437.16501650165,20525.574257425746,memory CD4+ T cells
309512,23748.18113207547,20646.61132075472,stromal cells
316112,23565.006289308178,20588.572327044025,stromal cells
317010,23913.299539170508,20156.543778801843,stromal cells
318559,23946.87654320988,20512.5,stromal cells
321503,23907.36363636364,20059.598930481283,stromal cells
323870,24351.552036199097,20355.62443438914,stromal cells
327250,23360.25153374233,20747.63803680981,stromal cells
327304,24178.152,20096.008,NK
334156,24010.93137254902,19977.367647058825,stromal cells
338363,23490.421787709496,20419.3687150838,stromal cells
338488,23947.021276595744,20285.602836879432,NK
339977,23495.122605363984,20532.3754789272,stromal cells
342124,23795.67333333333,20445.81333333333,stromal cells
342874,23670.748148148148,20599.503703703704,stromal cells
343684,23702.11888111888,20746.6013986014,M2 macrophages
344672,23910.55752212389,20301.911504424777,M2 macrophages
345857,23881.641379310346,20198.172413793105,regulatory T cells
350029,24338.39375,20370.8375,NK
350192,23850.9125,20630.93125,stromal cells
350951,24003.193965517243,20614.91379310345,stromal cells
352750,23760.671641791047,20679.11442786069,stromal cells
355867,23785.56779661017,20914.86440677966,regulatory T cells
355958,23857.477987421385,20318.270440251574,stromal cells
356408,23750.21935483871,20338.44516129032,stromal cells
357304,23994.5756097561,20733.141463414635,stromal cells
357352,24261.36896551724,20201.84827586207,stromal cells
357482,23842.51092896175,20173.00273224044,stromal cells
359310,23579.805714285714,20620.674285714285,stromal cells
360282,23821.8125,20312.9625,stromal cells
362645,24037.816860465115,20301.26453488372,stromal cells
362710,23511.424581005587,20637.88268156425,stromal cells
362761,23819.46715328468,20215.682481751825,stromal cells
363181,23751.303317535545,20230.251184834124,stromal cells
364318,24326.19230769231,20542.11888111888,stromal cells
365280,23649.43879907621,20653.72979214781,stromal cells
366208,24160.881856540083,19846.978902953582,stromal cells
366940,23867.98675496689,20962.11920529801,stromal cells
367365,23569.172413793105,20689.25123152709,stromal cells
368356,23552.06474820144,20581.474820143885,stromal cells
368849,23435.235294117647,20562.0,stromal cells
372170,23787.97096774193,20247.3064516129,stromal cells
373561,23445.417218543047,20673.30463576159,M2 macrophages
373665,23680.515151515152,20463.90235690236,stromal cells
376443,23596.74093264249,20803.01554404145,stromal cells
376538,24005.934343434343,20809.60606060606,regulatory T cells
377447,23777.548148148147,20741.6,stromal cells
377713,23513.58301158301,20376.467181467186,memory CD8+ T cells
377750,23614.09523809524,20898.5,stromal cells
377966,24185.053658536584,20054.29268292683,stromal cells
378005,23767.78947368421,20547.17794486216,stromal cells
378989,23850.53389830509,20330.37288135593,stromal cells
379085,24348.372807017546,20325.20175438597,stromal cells
379871,24105.265625,20762.140625,stromal cells
383442,23592.23255813953,20779.42635658915,memory CD8+ T cells
383638,23619.631970260223,20719.732342007435,stromal cells
383844,23516.417582417584,20705.846153846152,stromal cells
383908,23799.73493975904,20265.4016064257,stromal cells
385376,23757.17391304348,20458.239130434784,stromal cells
385616,23505.462006079026,20579.808510638297,stromal cells
388957,23749.85064935065,20794.85714285714,stromal cells
389354,23412.129449838187,20435.44660194175,regulatory T cells
389864,23598.325991189427,20373.3127753304,M2 macrophages
391552,23491.189655172413,20689.436781609194,stromal cells
391884,23859.45945945946,20997.043243243243,NK
393868,23455.43629343629,20499.08108108108,stromal cells
394705,23817.92857142857,20829.027472527472,stromal cells
395911,23863.32618025751,20199.70815450644,stromal cells
396662,23798.436893203885,20716.873786407767,NK
397985,23874.771276595744,20643.941489361703,stromal cells
398403,23761.90322580645,20960.490322580645,stromal cells
399262,23929.3661971831,20964.23004694836,stromal cells
399776,23691.593220338986,20887.988700564973,stromal cells
400963,23545.724867724868,20955.164021164022,stromal cells
405361,23462.853448275862,20825.25,regulatory T cells
405388,23633.40528634361,20515.6563876652,stromal cells
405932,23553.77966101695,20908.282485875705,stromal cells
407009,23954.95508982036,20378.85928143713,stromal cells
408249,23595.981549815497,20497.191881918818,stromal cells
408453,23584.14864864865,20882.027027027027,stromal cells
410063,23546.75577557756,20295.257425742573,tumor cells
