CellID,X_centroid,Y_centroid,phenotype
3033,47745.36349079263,40570.75340272218,Ki67+ tumor cells 
3082,48324.09218106996,40638.2024691358,Ki67+ tumor cells 
4542,47525.00490998363,40763.80196399345,M1/M0 macrophages
5243,48700.09544468547,40602.34707158352,effector CD8+ T cells
6286,47995.93090909091,40555.65090909091,Ki67+ tumor cells 
9857,48633.30012771392,40488.37803320562,Ki67+ tumor cells 
12164,47940.445378151264,41066.69117647059,Ki67+ tumor cells 
13928,47973.52788104089,41133.371747211895,tumor cells
14947,47877.62090483619,40405.72386895476,Ki67+ tumor cells 
15786,47807.09461663948,41233.67536704731,Ki67+ tumor cells 
19279,47592.0,40852.108527131786,M2 macrophages
19353,47770.419607843134,40712.94411764706,memory CD8+ T cells
20248,47897.992647058825,41136.90073529412,Ki67+ tumor cells 
21406,47752.13169164882,40312.67665952891,Ki67+ tumor cells 
23084,48166.72881355932,40862.83527542373,Ki67+ tumor cells 
24143,48733.69246031746,40609.30357142857,Ki67+ tumor cells 
25257,47860.61694915254,40445.98983050847,Ki67+ tumor cells 
25354,47978.48928571429,41000.21785714286,stromal cells
26258,48209.83358098068,40866.44725111441,Ki67+ tumor cells 
27343,47960.90683229814,41309.407867494825,Ki67+ tumor cells 
28887,48261.43949044586,40961.18152866242,Ki67+ tumor cells 
29392,47811.320493066254,40905.19722650232,Ki67+ tumor cells 
30287,48394.72062663185,40689.77806788512,Ki67+ tumor cells 
30292,48364.823684210525,40598.46842105263,Ki67+ tumor cells 
31712,48765.42472582253,40620.703888335,effector CD8+ T cells
32181,48935.43894899536,40963.09273570325,Ki67+ tumor cells 
32271,47713.308139534885,40428.707848837206,Ki67+ tumor cells 
32759,47619.02476780186,41098.89318885449,Ki67+ tumor cells 
32808,48773.63185840708,40526.71504424779,effector CD8+ T cells
33530,48382.00294117647,41288.65294117647,memory CD8+ T cells
33838,47758.96656050955,41008.53662420382,Ki67+ tumor cells 
34122,48407.414826498425,40663.02208201893,Ki67+ tumor cells 
35795,48528.33109619687,41134.29530201342,stromal cells
36913,48236.88,40608.556,Ki67+ tumor cells 
37082,47916.45176470588,41160.21176470589,Ki67+ tumor cells 
37101,48066.24188481675,40614.44502617801,Ki67+ tumor cells 
39112,47707.70823798627,41589.34553775744,Ki67+ tumor cells 
39763,47709.407725321886,40459.12339055794,Ki67+ tumor cells 
39938,47728.25776965265,41028.30164533821,Ki67+ tumor cells 
40534,47535.61424731183,41067.98521505376,Ki67+ tumor cells 
41268,48016.4703087886,41530.589073634204,effector CD8+ T cells
41656,48408.889121338914,40995.55648535565,effector CD8+ T cells
41757,48194.34990619137,41167.53470919325,Ki67+ tumor cells 
41803,47814.49621785174,40481.36006051437,effector CD8+ T cells
42821,47758.53863134658,40361.834437086094,memory CD8+ T cells
43096,48212.19941348974,41363.59042033236,effector CD8+ T cells
43373,47733.563855421686,40613.326506024096,Ki67+ tumor cells 
43579,47597.35501653804,40905.07607497244,Ki67+ tumor cells 
43659,48324.427680798006,40600.90149625935,Ki67+ tumor cells 
43695,47852.5006060606,40967.25090909091,Ki67+ tumor cells 
45595,47490.25369978858,40633.81395348837,Ki67+ tumor cells 
45971,47998.39697950378,41098.55555555556,effector CD8+ T cells
46119,47796.3086548488,40577.81126173097,Ki67+ tumor cells 
46194,48699.73860182371,40625.7537993921,effector CD8+ T cells
47088,47682.528205128205,40238.31538461539,effector CD8+ T cells
47934,47489.43309352518,40708.47913669065,Ki67+ tumor cells 
48225,48116.67167919799,41507.26900584796,effector CD8+ T cells
52824,48691.73103448276,40580.558620689655,memory CD8+ T cells
53738,47769.87775891341,41045.33446519524,Ki67+ tumor cells 
54362,47818.831210191085,40823.05891719745,Ki67+ tumor cells 
