,topology_carcinoma_9_clean_t.csv,topology_carcinoma_20_clean_t.csv,topology_dysplasia_14_clean_t.csv,topology_dysplasia_15_clean_t.csv,topology_ad_carcinoma_13_clean_t.csv,topology_dysplasia_1_clean_t.csv,topology_ad_dysplasia_4_clean_t.csv,topology_carcinoma_14_clean_t.csv,topology_dysplasia_2_clean_t.csv,topology_ad_dysplasia_1_clean_t.csv,topology_ad_carcinoma_14_clean_t.csv,topology_dysplasia_12_clean_t.csv,topology_carcinoma_2_clean_t.csv,topology_ad_carcinoma_3_clean_t.csv,topology_ad_carcinoma_11_clean_t.csv,topology_dysplasia_5_clean_t.csv,topology_ad_dysplasia_10_clean_t.csv,topology_ad_dysplasia_8_clean_t.csv,topology_ad_carcinoma_4_clean_t.csv,topology_carcinoma_12_clean_t.csv,topology_ad_carcinoma_15_clean_t.csv,topology_ad_dysplasia_2_clean_t.csv,topology_carcinoma_13_clean_t.csv,topology_dysplasia_7_clean_t.csv,topology_carcinoma_18_clean_t.csv,topology_carcinoma_19_clean_t.csv,topology_ad_carcinoma_7_clean_t.csv,topology_carcinoma_7_clean_t.csv,topology_carcinoma_5_clean_t.csv,topology_carcinoma_6_clean_t.csv,topology_carcinoma_10_clean_t.csv,topology_dysplasia_4_clean_t.csv,topology_carcinoma_11_clean_t.csv,topology_ad_dysplasia_7_clean_t.csv,topology_ad_dysplasia_3_clean_t.csv,topology_ad_carcinoma_8_clean_t.csv,topology_carcinoma_16_clean_t.csv,topology_carcinoma_8_clean_t.csv,topology_dysplasia_10_clean_t.csv,topology_dysplasia_19_clean_t.csv,topology_ad_dysplasia_6_clean_t.csv,topology_ad_carcinoma_5_clean_t.csv,topology_ad_carcinoma_10_clean_t.csv,topology_ad_dysplasia_9_clean_t.csv,topology_ad_dysplasia_5_clean_t.csv,topology_carcinoma_1_clean_t.csv,topology_ad_carcinoma_2_clean_t.csv,topology_carcinoma_3_clean_t.csv,topology_dysplasia_17_clean_t.csv,topology_ad_carcinoma_9_clean_t.csv,topology_ad_carcinoma_12_clean_t.csv,topology_ad_carcinoma_1_clean_t.csv,topology_dysplasia_9_clean_t.csv,topology_dysplasia_8_clean_t.csv,topology_dysplasia_18_clean_t.csv,topology_dysplasia_13_clean_t.csv,topology_carcinoma_4_clean_t.csv,topology_dysplasia_3_clean_t.csv,topology_dysplasia_16_clean_t.csv,topology_dysplasia_11_clean_t.csv,topology_dysplasia_6_clean_t.csv,topology_carcinoma_17_clean_t.csv,topology_ad_carcinoma_6_clean_t.csv,topology_carcinoma_15_clean_t.csv
topology_carcinoma_9_clean_t.csv,0.0,18980.73402370717,4271.724229450204,6160.8417414005935,10728.395306013077,4742.6692507953,6407.973551817469,3681.6945622338103,8509.767339481463,4451.910546874216,15755.041672459833,5961.904271152996,8236.250183910171,5676.253562133226,2555.8679120229435,6482.937292005484,2592.750015780836,6964.495681346746,9524.579096142505,10102.01659915904,inf,4192.538385572957,7107.091209325586,7174.241023348532,3118.358842953604,1562.2866780916415,9690.021450874343,1932.1884666535157,6806.907226702974,2392.6470920899337,2161.6687894580787,4902.275827544454,4730.260424057307,11060.719770278725,4229.477701120828,12870.823370075108,15417.46271421946,1941.7074406216389,8110.165731830689,4187.646786530739,4671.968285585797,10416.805294130403,12198.28109946463,6696.98175074976,6569.552525215311,5512.846668326332,4104.105343557331,2875.5000781139993,6799.916836946632,6921.958013036617,5354.491924689762,6288.95219583788,16962.19103497078,6596.624189553151,4986.105457564971,5683.593894406123,5201.509517031437,8616.247666283172,5829.6741408898815,2320.462283508622,9217.440478833221,12004.227907278455,11465.488371450581,7007.728844440702
topology_carcinoma_20_clean_t.csv,18980.73402370717,0.0,16774.4763799378,14828.942290018778,13820.09757699515,14574.66321045625,15159.146427494326,15696.369671618657,11509.848031955913,14696.302820665647,8380.008520815822,13095.273589358387,14405.795181565134,13918.159352206623,19126.244229590087,12596.800028878513,16558.441112536864,18151.273351692307,12003.95698291518,9302.596137110731,inf,16195.269634961463,11921.504802808613,11956.553859530251,16213.39533851145,19092.440371511115,11092.111903322986,17870.918913766945,17840.15138625078,17210.189077116294,19402.592684576673,16509.97332981554,15435.247683117117,10539.688149553847,17185.730695542778,7428.845270779028,4909.017027446393,17377.024674906388,10897.772791774516,15602.145699775227,16725.901467838466,10778.438695513674,7927.000930791479,18097.976343177546,15624.206706182957,15681.724437520672,16307.84207338564,18838.491728752124,13181.704451641779,12690.307016921439,15518.34578588105,13426.148842103354,6162.278244128106,12525.89627990414,17175.071795514505,13541.771241699023,16600.61724685576,10893.239044983873,17603.123022387717,17035.98516409107,9830.85021521279,7726.694504111253,13839.802824244312,13423.15125172174
topology_dysplasia_14_clean_t.csv,4271.724229450204,16774.4763799378,0.0,2539.316115065151,6776.937510241989,5437.354947670821,2607.9486836832507,1866.870331227471,9080.352111644153,3834.7768389726252,12280.892646069797,4337.424715272017,9881.99006777409,3586.344011391275,2598.2291744843455,5547.780306831498,2432.4444573872784,3146.4356013363745,5801.994184057995,8842.161469779763,inf,1067.977614084853,5482.090619117019,7050.827533051392,4666.400702197624,5260.457308061005,6429.708694621257,2619.3431412701093,9433.771702076801,4745.13110915937,5867.646078561949,7759.593467012706,5774.364481825349,7715.684700336485,902.5677701480902,10146.595916952903,14036.551504397725,4180.0060704068865,6591.729721290719,1517.6746743743265,856.8935810171288,7030.631634154517,9355.057616844477,2799.883310928662,2749.6232898977414,6906.975403622575,1210.3418248792098,2592.4366889773673,3754.367534930153,4227.261152724342,2131.1928297317095,3596.6250422678686,16963.131708354438,4531.407751057221,1268.959431797959,3764.617425973249,8184.610656763362,8479.126114929608,1994.747744678647,2542.966681322215,7760.76961794884,9152.364232071732,7479.712350707406,8148.52335884464
topology_dysplasia_15_clean_t.csv,6160.8417414005935,14828.942290018778,2539.316115065151,0.0,4662.671540597841,5644.4588717112465,1244.979158668136,2980.193173809295,8036.466848652462,4874.83468446996,9847.8964245259,3402.3683340547464,9205.515620947823,2636.1854253046813,4898.542176314889,4432.258630046969,4063.0694034094367,4155.71246226384,3430.7445627188536,7574.534694946839,inf,2137.0869643878236,4554.348915634876,6034.082079452615,5178.16666772273,7178.28913396871,4131.484324036681,4644.019361996556,10112.324956910541,6175.683222574234,7669.960714461506,7730.78064910853,6204.767948975865,5586.239759021882,3202.874849625541,8196.732046614945,12703.033679309927,5720.569845760275,5587.476326718934,2119.001807373968,2306.6077714580424,4658.044181650494,7252.409383331564,3845.654992228647,1849.5533661385264,7182.859402298504,2199.955413269895,5026.164316921829,2153.000842496262,2960.238298243814,1363.0878434765814,2461.5726022853314,15988.772865974712,3227.3050744399466,2689.816090790262,2858.6995752195517,8616.870780234147,7548.593243664779,3160.296152485089,4472.834426059082,6757.277231514656,7210.986355710296,5407.661483947046,7356.000165968298
topology_ad_carcinoma_13_clean_t.csv,10728.395306013077,13820.09757699515,6776.937510241989,4662.671540597841,0.0,10029.018512899112,4530.15506582444,7547.283217778722,9654.931589635391,9362.855043637872,7013.73476263003,6901.8879036642775,13308.014181314327,6047.410056780879,8822.483573427602,7570.966159000649,8643.518239137335,5626.083815023527,3102.678192894503,8810.932611578874,inf,6673.20814683909,7721.50989198348,8018.727266843355,9716.67927119013,11761.622020556557,4830.54343436225,9151.344091251043,14575.888503486214,10795.543187812209,12292.025396059633,12208.495115539878,10672.030240969085,4300.964179545715,7293.742665388123,6950.123366164885,13508.003443863085,10340.11204231464,7166.282218678367,6667.678105283305,6362.598790783614,4180.081213752138,6969.6667085381905,5693.5828115911945,4369.419609847391,11538.57184389777,6672.734208784079,9160.967770617113,5033.5791706998625,5900.361770800615,5544.239078109262,6352.52438417062,15349.980202169481,6904.66650139723,6483.778763343632,6987.74220814083,12982.91878250484,10263.05134202169,6025.9438559415075,9002.216930576835,6666.7902384720555,7438.455127795615,867.9209984568499,11106.372020303135
topology_dysplasia_1_clean_t.csv,4742.6692507953,14574.66321045625,5437.354947670821,5644.4588717112465,10029.018512899112,0.0,6124.582534994878,3845.2418241757496,4040.0927585181066,1928.8242800332832,13230.320253096836,3321.726021918096,4653.114700804647,4065.000375324667,5889.3251806135195,3042.256984965893,3594.1120930575066,8486.776995213562,7953.026422250604,5492.684730157996,inf,5266.0029790447625,3264.444662685358,2762.864445972296,1994.765581430525,4578.937741462455,7258.080666940878,4215.599442780006,4744.199323149217,2832.929270080265,4862.605679852473,3009.036733529965,1238.4225095475413,8753.843095755608,5656.060941776794,9307.807136144786,10764.854623645502,3119.787746591863,4080.5880059190513,4434.46996086478,6097.4709163131265,8071.760878375666,8838.736418297864,8153.06943071198,6485.609103617075,2139.230703714009,4669.746457072619,5317.9448291376575,5107.981257666524,4507.55898888172,5065.515816886662,3812.9664799536786,12350.707195029148,3439.1465665398514,6396.638777702209,3167.751444350846,3138.9661022007995,3970.478786328998,7325.894230355661,3507.074971233849,5897.4972134780965,8726.667312863401,10795.29965025883,3101.7639869843238
topology_ad_dysplasia_4_clean_t.csv,6407.973551817469,15159.146427494326,2607.9486836832507,1244.979158668136,4530.15506582444,6124.582534994878,0.0,3154.4118720868432,8942.865155531314,5113.154181700918,9887.80869421206,4118.318657359261,10017.191946582998,3417.8485479070446,4965.38811488478,5420.919698905832,4276.023347535458,3234.449513723484,3505.2984782142053,8422.958439948628,inf,2341.287464274674,5248.314917312666,6944.68262097664,5506.008192134866,7421.602333595062,4813.167938037244,4885.692549536161,10471.901629296026,6414.862621402692,7924.027149328991,8126.371561013632,6498.731851795876,6271.529040365826,3304.123501672734,8581.123623707124,13440.776446113094,5950.637465960476,6360.894725216508,2287.8994544914804,2191.6714713169767,4867.621434589013,7769.133733755835,3061.70464800509,939.625571380436,7631.83130615632,2402.1627390732574,5126.9221275550335,2908.7206020084113,3629.8114481798507,1385.6541708568334,2971.313802119558,16840.49372204975,4127.8479650973295,2645.948151456646,3541.6605890198243,9092.484450934988,8391.326966662975,2495.917055169227,4658.024459454485,7603.62834081304,7577.731558147278,5237.653634281759,8070.011581337235
topology_carcinoma_14_clean_t.csv,3681.6945622338103,15696.369671618657,1866.870331227471,2980.193173809295,7547.283217778722,3845.2418241757496,3154.4118720868432,0.0,7410.063225908841,2225.3166686826403,12140.449020225213,3003.687893782995,8240.289938809954,2251.0264125734006,3537.9748447592588,3981.558440325301,1353.1192415155997,4790.498924004963,6070.989645475591,7415.190502398386,inf,1748.4227780770473,4040.465389315491,5451.447330652046,3085.8443118383743,4484.221028742134,6101.754757108372,2329.606784892103,7805.5532581175,3338.2687425712966,4981.58599301076,6125.892961528781,4152.98604579128,7451.1847049518765,2054.144983149301,9267.06087201787,12686.376128435119,2885.0230248691028,5259.797567950511,1186.9064833271582,2411.0050936351,6804.599339160631,8569.087280101277,4478.010699083725,3337.891802897319,5352.580810196766,1402.9002265258937,3213.6173191837493,3215.0629057305246,3280.329854829195,2295.8191935174723,2729.151103818026,15368.046236971251,3334.831353611294,2760.0661142598933,2353.650111423877,6585.250839189867,6878.354742792785,3625.6052961493283,1870.0744248950607,6297.623407055088,8383.26604661327,8261.99646778379,6504.714434243687
topology_dysplasia_2_clean_t.csv,8509.767339481463,11509.848031955913,9080.352111644153,8036.466848652462,9654.931589635391,4040.0927585181066,8942.865155531314,7410.063225908841,0.0,5443.770887364913,11318.708588732854,4991.172222664631,4096.232523014944,5680.924519537467,9638.947594427691,3897.6198297525084,7161.764481384682,12128.319056538436,6965.035644060143,2420.945214201316,inf,8944.483609034483,3849.608158981713,2420.100629566206,5655.332589909363,8196.205219435387,5761.622227318885,7963.071350763658,6736.343842165708,6507.460696896485,8351.364257288647,5082.959386633434,4198.480220464168,7156.656882250296,9279.826971578343,6984.438473329364,7283.364873899299,6833.1468150920355,2918.761436920474,7758.342621742107,9734.773210666202,6571.839049390641,6504.5967934942155,11802.678965129406,9612.572816276299,4437.766147999724,8203.12393050051,9035.428393422699,6193.62636917454,5574.308241049589,7976.205019070858,6240.5551687340485,8699.31738601379,4999.861571402722,10001.325559472021,5628.000564510126,5161.5294879520225,1860.1397394377948,10951.39075228288,7103.215890775549,4581.729451875546,6673.510982833324,10233.122305320167,2465.4145636641647
topology_ad_dysplasia_1_clean_t.csv,4451.910546874216,14696.302820665647,3834.7768389726252,4874.83468446996,9362.855043637872,1928.8242800332832,5113.154181700918,2225.3166686826403,5443.770887364913,0.0,12914.908213739214,2806.3196510792845,6236.19517372436,3418.2323678911175,5218.010777193683,2940.164257862231,2339.7327237150103,6810.088641784904,7438.042254031845,5740.557765818836,inf,3715.4286257800977,3087.367179740664,3662.0182410300176,2145.347486859364,4449.149574377622,6894.429919711563,3661.598649945396,5838.291545766008,2610.3639637306487,4759.506692628714,4203.6265670829935,2254.3982020018643,8355.64830793195,3996.9159130891244,9178.47877110133,11012.929175272253,2756.937704602023,3973.2527721177503,3149.244201010173,4417.596497730803,7660.018864032171,8683.38893650508,6488.161495355457,5290.307130682802,3328.536808651148,3397.0949750101013,4606.495115039176,4513.436971093865,4064.169953241917,4163.003493943088,3349.699615657175,13398.675004143408,3119.3630338357652,4788.645338395901,2753.0250703332076,4544.038790624888,4935.442118245917,5636.13754669237,2621.312360568677,5510.659495864142,8517.22699087988,10097.756731338064,4537.276343851094
