CellID,X_centroid,Y_centroid,phenotype_key,color
1,3500.829090909091,3683.832727272728,regulatory T cells,#0072B2
140,3339.4868995633187,3690.9410480349343,regulatory T cells,#0072B2
176,3556.551020408164,3925.813775510204,CD4+ T cells,#0072B2
277,3141.9025787965616,4119.478510028654,regulatory T cells,#0072B2
290,3732.0268292682927,4333.702439024391,regulatory T cells,#0072B2
421,3561.691973969632,3852.1995661605206,endothelial cells,#666666
650,3703.92731829574,4109.295739348371,regulatory T cells,#0072B2
839,3581.9460580912864,4035.367219917012,regulatory T cells,#0072B2
1134,3500.053571428572,3720.622023809524,regulatory T cells,#0072B2
1343,3210.615107913669,4307.3705035971225,M2 macrophages,#66A61E
1480,3145.5209580838323,4223.164670658683,regulatory T cells,#0072B2
1701,3730.075268817204,4029.874551971326,CD4+ T cells,#0072B2
2203,3380.196969696969,4257.051515151516,dendritic cells,#66A61E
2339,3671.897959183673,4289.663265306122,M2 macrophages,#66A61E
2351,3432.994082840237,4325.807692307692,M2 macrophages,#66A61E
2406,3767.160714285714,4156.298469387755,regulatory T cells,#0072B2
2551,3694.525316455696,4167.943037974684,M2 macrophages,#66A61E
2566,3546.054838709678,3940.18064516129,M2 macrophages,#66A61E
3134,3873.942942942943,4107.357357357358,CD4+ T cells,#0072B2
3143,3821.730508474576,3805.869491525424,M2 macrophages,#66A61E
3411,3377.5702479338843,4302.096418732783,M2 macrophages,#66A61E
3718,3170.788043478261,3871.619565217392,regulatory T cells,#0072B2
3721,3481.137037037037,3644.848148148148,M2 macrophages,#66A61E
3816,3498.542857142857,4336.471428571429,M2 macrophages,#66A61E
3912,3298.3954154727794,4137.962750716332,regulatory T cells,#0072B2
3976,3663.807947019868,3915.971302428256,M2 macrophages,#66A61E
4241,3811.4647887323945,4268.31338028169,regulatory T cells,#0072B2
4335,3235.546697038724,3915.3735763097934,regulatory T cells,#0072B2
4411,3374.964285714286,3923.1989795918366,M2 macrophages,#66A61E
4435,3721.434782608696,3824.385093167702,regulatory T cells,#0072B2
4453,3564.475578406169,3958.961439588689,regulatory T cells,#0072B2
4546,3526.8790170132324,3995.056710775047,regulatory T cells,#0072B2
4576,3513.7131147540986,3756.815573770492,regulatory T cells,#0072B2
4588,3514.3653846153848,3655.449519230769,regulatory T cells,#0072B2
4678,3492.696969696969,4497.515151515152,M2 macrophages,#66A61E
4703,3147.738764044944,4166.098314606742,M2 macrophages,#66A61E
4731,3492.484949832776,4473.254180602006,M2 macrophages,#66A61E
4976,3376.6584507042253,4176.475352112676,regulatory T cells,#0072B2
5155,3570.603550295858,3685.8086785009855,stromal cells,#666666
5191,3586.7470085470086,3932.447863247863,CD4+ T cells,#0072B2
5424,3811.3142857142857,4182.416326530612,CD4+ T cells,#0072B2
5505,3620.099337748344,3901.019867549669,CD4+ T cells,#0072B2
5659,3688.1948529411766,3866.029411764706,regulatory T cells,#0072B2
5669,3354.8327759197323,4429.578595317726,M2 macrophages,#66A61E
5694,3549.4242424242425,3714.208754208754,regulatory T cells,#0072B2
5756,3557.40206185567,3664.549828178694,CD4+ T cells,#0072B2
5942,3673.7533783783774,4167.4222972972975,regulatory T cells,#0072B2
6499,3794.356481481481,4346.912037037037,M2 macrophages,#66A61E
6763,3234.037142857143,4114.282857142857,regulatory T cells,#0072B2
