,dysplasia_FA_HN14_2_mac.csv,stroma_ad_carcinoma_FA_HN14_5_mac.csv,stroma_ad_dysplasia_FA_HN11A_4_mac.csv,stroma_ad_carcinoma_FA_HN14_2_mac.csv,dysplasia_FA_HN15_5_mac.csv,dysplasia_FA_HN11A_5_mac.csv,dysplasia_FA_HN15_2_mac.csv,dysplasia_FA_HN15_1_mac.csv,stroma_ad_carcinoma_FA_HN11A_2_mac.csv,carcinoma_FA_HN14_3_mac.csv,stroma_ad_dysplasia_FA_HN14_4_mac.csv,carcinoma_FA_HN11A_3_mac.csv,stroma_ad_carcinoma_FA_HN15_2_mac.csv,carcinoma_FA_HN14_2_mac.csv,carcinoma_FA_HN14_4_mac.csv,stroma_ad_carcinoma_FA_HN15_1_mac.csv,stroma_ad_dysplasia_FA_HN11A_1_mac.csv,carcinoma_FA_HN14_1_mac.csv,dysplasia_FA_HN11A_2_mac.csv,stroma_ad_dysplasia_FA_HN15_3_mac.csv,stroma_ad_carcinoma_FA_HN14_1_mac.csv,stroma_ad_carcinoma_FA_HN11A_1_mac.csv,stroma_ad_dysplasia_FA_HN15_4_mac.csv,carcinoma_FA_HN11A_4_mac.csv,stroma_ad_dysplasia_FA_HN11A_2_mac.csv,stroma_ad_carcinoma_FA_HN14_4_mac.csv,dysplasia_FA_HN14_1_mac.csv,stroma_ad_carcinoma_FA_HN15_3_mac.csv,stroma_ad_dysplasia_FA_HN15_1_mac.csv,stroma_ad_dysplasia_FA_HN14_1_mac.csv,dysplasia_FA_HN11A_3_mac.csv,dysplasia_FA_HN11A_4_mac.csv,stroma_ad_dysplasia_FA_HN11A_3_mac.csv,stroma_ad_dysplasia_FA_HN14_3_mac.csv,stroma_ad_carcinoma_FA_HN15_4_mac.csv,stroma_ad_carcinoma_FA_HN14_3_mac.csv,stroma_ad_dysplasia_FA_HN15_2_mac.csv,stroma_ad_dysplasia_FA_HN15_5_mac.csv,carcinoma_FA_HN15_2_mac.csv,dysplasia_FA_HN11A_1_mac.csv,stroma_ad_dysplasia_FA_HN11A_5_mac.csv,carcinoma_FA_HN11A_2_mac.csv,dysplasia_FA_HN15_3_mac.csv,carcinoma_FA_HN11A_1_mac.csv,carcinoma_FA_HN11A_5_mac.csv,stroma_ad_dysplasia_FA_HN14_2_mac.csv,carcinoma_FA_HN15_1_mac.csv
dysplasia_FA_HN14_2_mac.csv,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,3740.5999521303834,inf,inf,inf,inf,inf,inf,inf,inf,3731.699917638087,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN14_5_mac.csv,inf,0.0,688.1259998231924,1856.2361456193144,5206.194439194018,2061.787550063756,3039.9326575514815,5955.939734787042,3771.7714073278494,inf,2534.854607133134,3030.886610291196,2778.99968693281,3419.7094362693383,3503.766475768506,4667.010162627093,3077.7598192772975,2072.9237970121553,4370.303823008953,2301.123899987675,2319.5101864430694,5813.83951392877,5882.592099544745,4219.441754146031,2513.4818983365103,628.9439700011017,inf,2566.5303054918086,4514.877082187068,2079.533675266162,4148.767921803999,1894.300490265492,1919.786599452302,inf,5196.00734805788,1790.5048679826027,2313.1130981515043,6118.582806303676,2743.735929093218,967.0529175390323,3981.6399670163,1713.7975923868912,inf,2642.1916998214024,1208.075059097629,1682.8788528075256,3654.323263134348
stroma_ad_dysplasia_FA_HN11A_4_mac.csv,inf,688.1259998231924,0.0,1333.2287130554828,5016.4080031890335,1710.7928196175494,3278.9041950397695,5883.059256148118,3438.563346333102,inf,1916.6164481377696,2814.1329634102385,3120.234163515179,3723.2485714888394,3651.977460296877,4780.72753555117,2715.153764442433,2450.4278982048977,3920.8228257442643,2656.4585550106954,1813.9070536375598,5288.313444406451,5316.148193253354,3787.0552825674263,2052.593243831798,500.80185140318065,inf,3142.8977483418275,4037.3756059930683,2041.5619941541397,4253.341559249602,1684.9826649479564,1370.6229395622868,inf,5146.372802910334,1324.4048486329261,2396.4507669805366,5511.484708308362,3125.017598086207,942.6397889744297,3396.163088083239,1471.0866100084172,inf,2202.7557707394603,1233.4919377716717,1212.8219825082858,3835.775948471203
stroma_ad_carcinoma_FA_HN14_2_mac.csv,inf,1856.2361456193144,1333.2287130554828,0.0,4100.020188792476,1425.3008941741305,3244.8331037946064,5088.826747071567,2510.973987652372,inf,1836.2104664140195,2320.7140882820486,3807.9835684698337,5017.015547892271,4926.527444761454,4228.09064047113,1756.475107636118,3761.143830045328,3203.9620128809875,3531.2113151741355,785.8015022132424,4016.0151567336975,4064.356951742694,2905.8640620187266,1007.6830108493938,1779.2310105091208,inf,4403.359478593664,2758.6063733776714,1491.0188688810813,3755.0173290255557,1472.269152677554,454.6221207985724,inf,4262.653407896619,470.17488810211665,2118.7711575027624,4378.47895252148,3715.4524959211194,2225.0264827365736,2226.0567115753925,1243.6368291067456,inf,1620.825924448921,1725.051900309336,623.3888635387816,3571.6830283237873
dysplasia_FA_HN15_5_mac.csv,inf,5206.194439194018,5016.4080031890335,4100.020188792476,0.0,4338.242268167926,3670.3112453022377,1176.6859203226807,1834.5522661236641,inf,5065.158234449531,2690.6341401816735,5690.329136146986,8597.082663268999,8593.522774840676,1804.5168234177438,2432.4167854846582,7248.504813066343,1680.9853152040748,6174.328594304962,3544.095882477504,3346.6823514204034,4354.712642336567,1654.7708727698864,3364.5186461111307,5321.789115007976,inf,7477.434815580335,2139.5534574792573,3165.72293406238,1975.32215873682,4466.515508867147,3870.18356433752,inf,559.7038211964106,3788.565156919515,3399.801156131334,5044.78793695963,5467.497124387892,5868.897992195729,4235.638852246436,4523.643223850516,inf,3327.6661432338087,4833.850034000899,4335.057688235375,3741.022738737036
dysplasia_FA_HN11A_5_mac.csv,inf,2061.787550063756,1710.7928196175494,1425.3008941741305,4338.242268167926,0.0,2409.3700106335114,5196.170198376809,2803.1508840501388,inf,2449.436866783261,1863.176021077247,2885.0096447676538,4423.214424968822,4349.498295669366,3972.260499633399,2069.523901563481,3305.363298069717,3258.5066005976855,2658.5583079358557,1337.6228546664452,4838.284272634015,5097.54143797734,3095.9495111242136,1644.6581732286759,1791.6449790918443,inf,3881.656289004531,3415.0134888156695,1355.866288704611,3173.320696030239,444.2062717292828,1340.7879750634777,inf,4440.8764899597745,1196.3954834318147,1491.361221212205,5533.757957596506,2806.3723171609035,2122.959989163021,3453.0624912444014,752.6444049127778,inf,1422.8075031612063,1028.900655543665,1261.1335177458584,2764.892303834606
dysplasia_FA_HN15_2_mac.csv,inf,3039.9326575514815,3278.9041950397695,3244.8331037946064,3670.3112453022377,2409.3700106335114,0.0,4027.803189117249,3122.279483840776,inf,4388.830915717151,2008.7415066991537,2193.2106016399957,5768.598367881796,5977.560942920557,2263.646316172284,2841.911565778081,4454.0334223876935,3859.704002105265,3017.793987406278,2850.0951312560824,5885.64966997941,6415.664677940285,3676.0470257315546,3253.868127956573,3195.031873221931,inf,4247.126635589977,4094.060379588892,1835.825077248039,1806.2024660549648,2373.597829991803,3093.5570899147674,inf,3333.1724206628937,2905.2968069711787,1250.4687682654142,6982.993061087227,1949.5944091402919,3603.72275993906,5135.732512985892,2575.029523970324,inf,2524.294329640843,2347.7220079287636,3147.0794530610715,963.4718019862335
dysplasia_FA_HN15_1_mac.csv,inf,5955.939734787042,5883.059256148118,5088.826747071567,1176.6859203226807,5196.170198376809,4027.803189117249,0.0,2865.0212693040626,inf,6097.705631818025,3546.7729095213963,6135.007536743588,9364.737447312786,9405.54765780239,1921.1755609235317,3454.713546059277,8013.992557796213,2729.6509202491975,6815.681007043699,4463.599309468776,4218.936495599801,5334.457759617275,2640.9632952203183,4413.63019277677,6118.032878410074,inf,8098.882345405752,3270.3221619575584,3956.2054217328096,2414.6498917449026,5280.591099846698,4816.049457193818,inf,1193.6301800375254,4726.867159719122,4061.6700491050424,6023.268998018392,5918.638781606834,6699.559943142359,5371.977495120909,5343.651623046323,inf,4186.303085035653,5609.025618739312,5295.108280546845,4128.289168512066
stroma_ad_carcinoma_FA_HN11A_2_mac.csv,inf,3771.7714073278494,3438.563346333102,2510.973987652372,1834.5522661236641,2803.1508840501388,3122.279483840776,2865.0212693040626,0.0,inf,3302.0960492811473,1341.6909888339585,4733.808453103911,7100.598932243419,7066.206205989665,2481.6772328209,923.3124467598101,5765.005454182827,1095.4742574022969,4946.302850632977,1971.8233679091563,2789.2024886270983,3427.451063300189,882.6611257955707,1681.9614049914046,3817.9292298027563,inf,6176.40855459127,993.5876444308874,1856.090659976378,2073.2947428606153,2953.76420213913,2294.1982279639305,inf,1891.969447789626,2245.3374900462163,2356.6002409860344,4067.29182168487,4541.607669630195,4339.774851482145,2735.9749717704562,3003.5445776421916,inf,1739.3600100276021,3353.955417449478,2631.8249638347343,3235.707142480219
carcinoma_FA_HN14_3_mac.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
