,dysplasia_FA_HN11A_4_otras.csv,carcinoma_FA_HN11A_5_otras.csv,stroma_ad_dysplasia_FA_HN11A_1_otras.csv,stroma_ad_dysplasia_FA_HN11A_3_otras.csv,dysplasia_FA_HN11A_3_otras.csv,stroma_ad_dysplasia_FA_HN15_2_otras.csv,stroma_ad_carcinoma_FA_HN11A_2_otras.csv,carcinoma_FA_HN14_3_otras.csv,carcinoma_FA_HN14_4_otras.csv,stroma_ad_carcinoma_FA_HN11A_1_otras.csv,stroma_ad_carcinoma_FA_HN14_1_otras.csv,stroma_ad_dysplasia_FA_HN14_2_otras.csv,stroma_ad_dysplasia_FA_HN11A_5_otras.csv,dysplasia_FA_HN15_5_otras.csv,dysplasia_FA_HN14_1_otras.csv,dysplasia_FA_HN11A_1_otras.csv,stroma_ad_dysplasia_FA_HN15_4_otras.csv,carcinoma_FA_HN14_2_otras.csv,dysplasia_FA_HN11A_5_otras.csv,carcinoma_FA_HN15_1_otras.csv,carcinoma_FA_HN15_2_otras.csv,stroma_ad_carcinoma_FA_HN15_1_otras.csv,stroma_ad_dysplasia_FA_HN11A_4_otras.csv,stroma_ad_carcinoma_FA_HN14_3_otras.csv,stroma_ad_carcinoma_FA_HN14_5_otras.csv,carcinoma_FA_HN11A_2_otras.csv,stroma_ad_dysplasia_FA_HN14_3_otras.csv,carcinoma_FA_HN14_1_otras.csv,stroma_ad_carcinoma_FA_HN14_4_otras.csv,dysplasia_FA_HN14_2_otras.csv,dysplasia_FA_HN11A_2_otras.csv,dysplasia_FA_HN15_1_otras.csv,stroma_ad_dysplasia_FA_HN11A_2_otras.csv,stroma_ad_carcinoma_FA_HN15_4_otras.csv,stroma_ad_dysplasia_FA_HN15_1_otras.csv,stroma_ad_dysplasia_FA_HN15_5_otras.csv,stroma_ad_dysplasia_FA_HN14_4_otras.csv,stroma_ad_dysplasia_FA_HN14_1_otras.csv,stroma_ad_carcinoma_FA_HN14_2_otras.csv,carcinoma_FA_HN11A_1_otras.csv,stroma_ad_carcinoma_FA_HN15_3_otras.csv,dysplasia_FA_HN15_2_otras.csv,carcinoma_FA_HN11A_3_otras.csv,carcinoma_FA_HN11A_4_otras.csv,stroma_ad_carcinoma_FA_HN15_2_otras.csv,dysplasia_FA_HN15_3_otras.csv,stroma_ad_dysplasia_FA_HN15_3_otras.csv
dysplasia_FA_HN11A_4_otras.csv,1.043070629238147e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,68.4179099358598,inf,75.81804412805192,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,44.776045420128014,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
carcinoma_FA_HN11A_5_otras.csv,inf,1.8543729248488825e-308,inf,inf,inf,inf,inf,88.75925060617652,inf,inf,inf,inf,inf,inf,inf,71.8657618945274,75.89646433664876,inf,inf,inf,inf,inf,72.3162702633658,inf,inf,inf,inf,79.32782486660369,inf,83.22640204025615,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,58.45322103716994,inf,inf,inf
stroma_ad_dysplasia_FA_HN11A_1_otras.csv,inf,inf,1.430173673643095e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,67.63568632494287,inf,inf,inf,inf,inf,inf,inf,inf,73.03336173453295,inf,inf,inf,34.668607998994645,63.73435043195384,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,62.512566607248004
stroma_ad_dysplasia_FA_HN11A_3_otras.csv,inf,inf,inf,1.680877683744013e-308,inf,83.08129541476328,inf,inf,inf,83.8278139561967,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,52.39826239841133,inf,inf,inf,inf,32.96862237985067,40.07009368416128,48.726153602624706,63.62807817460444,inf,inf,inf,inf
dysplasia_FA_HN11A_3_otras.csv,inf,inf,inf,inf,1.1954934309431643e-308,inf,inf,inf,inf,inf,inf,inf,inf,89.02152564537411,61.150186525976,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,38.800077907751714,inf,inf
stroma_ad_dysplasia_FA_HN15_2_otras.csv,inf,inf,inf,83.08129541476328,inf,1.7555850465133126e-308,inf,inf,inf,85.83583537465955,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,84.3156871176304,inf,inf,inf,inf,81.43088329147028,63.04624857268264,58.71821861345093,51.26725632746107,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN11A_2_otras.csv,inf,inf,inf,inf,inf,inf,1.061710621941905e-308,inf,48.21727830970407,inf,inf,63.545090961908656,60.185809830749676,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,25.294663288884323,inf,inf,inf,84.53492232957765,inf,inf,inf,39.45336342957984,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
carcinoma_FA_HN14_3_otras.csv,inf,88.75925060617652,inf,inf,inf,inf,inf,1.957765380492115e-308,inf,inf,inf,inf,inf,inf,inf,71.93501254721878,64.4959915246917,inf,inf,inf,inf,inf,67.46772956997788,inf,inf,inf,inf,39.491670943671735,inf,30.033156449332537,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,77.77514959584445,inf,inf,inf
carcinoma_FA_HN14_4_otras.csv,inf,inf,inf,inf,inf,inf,48.21727830970407,inf,1.010617788980099e-308,inf,inf,40.43609293764939,84.29444898560172,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,31.861679623958878,inf,inf,inf,86.37409995106711,inf,inf,inf,25.49001424532753,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN11A_1_otras.csv,inf,inf,inf,83.8278139561967,inf,85.83583537465955,inf,inf,inf,2.1059492646403794e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,63.72645091659217,inf,inf,inf,inf,67.57315841296065,83.8278139561967,83.8278139561967,83.8278139561967,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN14_1_otras.csv,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1.8453929138361832e-308,inf,inf,inf,inf,inf,inf,inf,59.04715232280664,inf,inf,inf,inf,35.59458165829177,65.37078057909164,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,80.86187786513193,inf,71.43337251679807,50.977660271232665,inf,inf,inf,inf,inf,inf,inf,inf
