,stroma_ad_dysplasia_FA_HN11A_3_t.csv,dysplasia_FA_HN14_2_t.csv,stroma_ad_dysplasia_FA_HN14_3_t.csv,stroma_ad_carcinoma_FA_HN15_1_t.csv,stroma_ad_carcinoma_FA_HN14_1_t.csv,stroma_ad_dysplasia_FA_HN15_2_t.csv,dysplasia_FA_HN15_2_t.csv,stroma_ad_dysplasia_FA_HN11A_1_t.csv,carcinoma_FA_HN11A_5_t.csv,stroma_ad_dysplasia_FA_HN15_3_t.csv,stroma_ad_dysplasia_FA_HN11A_5_t.csv,dysplasia_FA_HN15_5_t.csv,dysplasia_FA_HN11A_2_t.csv,stroma_ad_dysplasia_FA_HN15_5_t.csv,carcinoma_FA_HN11A_2_t.csv,stroma_ad_dysplasia_FA_HN14_2_t.csv,stroma_ad_dysplasia_FA_HN15_1_t.csv,stroma_ad_carcinoma_FA_HN11A_1_t.csv,stroma_ad_carcinoma_FA_HN14_5_t.csv,dysplasia_FA_HN11A_4_t.csv,carcinoma_FA_HN11A_1_t.csv,dysplasia_FA_HN11A_1_t.csv,carcinoma_FA_HN15_2_t.csv,carcinoma_FA_HN14_2_t.csv,dysplasia_FA_HN15_1_t.csv,carcinoma_FA_HN14_1_t.csv,stroma_ad_carcinoma_FA_HN14_2_t.csv,carcinoma_FA_HN11A_4_t.csv,stroma_ad_dysplasia_FA_HN11A_4_t.csv,dysplasia_FA_HN15_3_t.csv,carcinoma_FA_HN14_4_t.csv,stroma_ad_carcinoma_FA_HN14_3_t.csv,carcinoma_FA_HN11A_3_t.csv,stroma_ad_dysplasia_FA_HN11A_2_t.csv,carcinoma_FA_HN15_1_t.csv,dysplasia_FA_HN11A_5_t.csv,stroma_ad_carcinoma_FA_HN15_4_t.csv,carcinoma_FA_HN14_3_t.csv,dysplasia_FA_HN14_1_t.csv,stroma_ad_carcinoma_FA_HN15_3_t.csv,stroma_ad_carcinoma_FA_HN15_2_t.csv,stroma_ad_carcinoma_FA_HN14_4_t.csv,stroma_ad_dysplasia_FA_HN14_1_t.csv,stroma_ad_carcinoma_FA_HN11A_2_t.csv,stroma_ad_dysplasia_FA_HN14_4_t.csv,stroma_ad_dysplasia_FA_HN15_4_t.csv,dysplasia_FA_HN11A_3_t.csv
stroma_ad_dysplasia_FA_HN11A_3_t.csv,7.25883335840446e-309,inf,inf,inf,40.616735577663746,77.05721676320795,inf,29.11796936745327,inf,inf,67.22909595014261,inf,88.22168203111974,inf,inf,inf,50.10062077218534,inf,50.84579519454532,inf,inf,50.16002141702326,inf,inf,51.03234319477319,inf,30.99823230916472,inf,51.03234319477319,inf,inf,77.7768373081959,inf,19.960330019444143,inf,inf,76.10823730755112,inf,inf,inf,inf,52.35298014665699,43.88921644939833,inf,inf,inf,inf
dysplasia_FA_HN14_2_t.csv,inf,1.588084331185286e-308,inf,inf,inf,inf,inf,inf,36.376372065348846,71.32192417203356,inf,inf,inf,inf,inf,37.5929487661421,inf,43.69693988589978,inf,inf,68.53366609462279,inf,inf,inf,inf,inf,inf,68.53366609462279,inf,inf,inf,inf,68.53366609462279,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN14_3_t.csv,inf,inf,1.560593588503095e-308,33.182376106936275,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,78.3251979038022,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN15_1_t.csv,inf,inf,33.182376106936275,1.912722608082906e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,68.51155937437915,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN14_1_t.csv,40.616735577663746,inf,inf,inf,1.463966949868249e-308,59.85459783916153,inf,23.181838041561306,inf,inf,52.34898211899676,inf,76.69289298345629,inf,inf,inf,15.848210393607502,inf,19.998594295781857,inf,inf,46.722276430021864,inf,inf,58.47240011034613,inf,27.09026181447166,inf,58.47240011034613,inf,inf,62.896723477050045,inf,33.76344164967091,inf,inf,58.02005097845006,inf,inf,inf,inf,18.407437179367484,14.815726941018276,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN15_2_t.csv,77.05721676320795,inf,inf,inf,59.85459783916153,1.476713285729321e-308,inf,75.74552020382163,inf,inf,57.58166509474651,inf,22.203473084424488,inf,inf,inf,52.29103969206031,inf,58.404584291498395,inf,inf,77.05721676320795,inf,inf,84.87342785000521,inf,79.89231729378983,inf,84.87342785000521,inf,inf,39.352263060088234,inf,78.17714120805243,inf,inf,21.75250932168494,inf,inf,inf,inf,43.505129358789844,60.32768678370657,inf,inf,inf,inf
dysplasia_FA_HN15_2_t.csv,inf,inf,inf,inf,inf,inf,1.3394482229793457e-308,inf,inf,inf,inf,inf,inf,64.23165664223393,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,36.225309624958214,inf,inf,inf,64.58904066774454,inf,inf,inf,inf,87.71684357707471,72.00403167289471,76.9337490259085,89.37737829592285
stroma_ad_dysplasia_FA_HN11A_1_t.csv,29.11796936745327,inf,inf,inf,23.181838041561306,75.74552020382163,inf,1.1703221016151564e-308,inf,inf,75.29244684350022,inf,85.47636433535533,inf,inf,inf,27.775584689814593,inf,42.94205902028531,inf,inf,58.22337231038085,inf,inf,47.0006677480944,inf,8.855260595617207,inf,47.0006677480944,inf,inf,85.8401882015535,inf,15.021887859681115,inf,inf,71.13922898407301,inf,inf,inf,inf,34.1494740849528,19.887175051294392,inf,inf,inf,inf
carcinoma_FA_HN11A_5_t.csv,inf,36.376372065348846,inf,inf,inf,inf,inf,inf,1.437455297025647e-308,70.29999329236526,inf,inf,inf,inf,inf,61.0189827257191,inf,33.829184359403584,inf,inf,80.72812222216683,inf,inf,inf,inf,inf,inf,87.44195035360241,inf,inf,inf,inf,88.16851779649022,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN15_3_t.csv,inf,71.32192417203356,inf,inf,inf,inf,inf,inf,70.29999329236526,8.027556161268426e-309,inf,inf,inf,inf,inf,74.37238828854277,inf,41.60711515699981,inf,inf,87.40482500357865,inf,inf,inf,inf,inf,inf,87.68528116308127,inf,inf,inf,inf,88.29018320122964,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
