,carcinoma_FA_HN14_3_tumorales.csv,carcinoma_FA_HN15_1_tumorales.csv,carcinoma_FA_HN11A_5_tumorales.csv,stroma_ad_dysplasia_FA_HN14_3_tumorales.csv,stroma_ad_dysplasia_FA_HN14_4_tumorales.csv,stroma_ad_dysplasia_FA_HN15_1_tumorales.csv,carcinoma_FA_HN11A_2_tumorales.csv,dysplasia_FA_HN15_1_tumorales.csv,carcinoma_FA_HN14_2_tumorales.csv,carcinoma_FA_HN11A_4_tumorales.csv,dysplasia_FA_HN15_3_tumorales.csv,stroma_ad_dysplasia_FA_HN11A_1_tumorales.csv,stroma_ad_carcinoma_FA_HN15_3_tumorales.csv,dysplasia_FA_HN11A_5_tumorales.csv,stroma_ad_dysplasia_FA_HN14_1_tumorales.csv,stroma_ad_dysplasia_FA_HN11A_2_tumorales.csv,carcinoma_FA_HN14_1_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_1_tumorales.csv,stroma_ad_dysplasia_FA_HN11A_5_tumorales.csv,carcinoma_FA_HN15_2_tumorales.csv,dysplasia_FA_HN15_5_tumorales.csv,carcinoma_FA_HN14_4_tumorales.csv,stroma_ad_carcinoma_FA_HN14_4_tumorales.csv,stroma_ad_carcinoma_FA_HN11A_2_tumorales.csv,stroma_ad_carcinoma_FA_HN15_1_tumorales.csv,stroma_ad_carcinoma_FA_HN15_4_tumorales.csv,stroma_ad_dysplasia_FA_HN15_2_tumorales.csv,dysplasia_FA_HN11A_1_tumorales.csv,stroma_ad_carcinoma_FA_HN15_2_tumorales.csv,dysplasia_FA_HN14_1_tumorales.csv,stroma_ad_carcinoma_FA_HN14_2_tumorales.csv,carcinoma_FA_HN11A_1_tumorales.csv,dysplasia_FA_HN14_2_tumorales.csv,stroma_ad_carcinoma_FA_HN14_5_tumorales.csv,stroma_ad_dysplasia_FA_HN11A_4_tumorales.csv,stroma_ad_carcinoma_FA_HN14_3_tumorales.csv,carcinoma_FA_HN11A_3_tumorales.csv,dysplasia_FA_HN15_2_tumorales.csv,stroma_ad_carcinoma_FA_HN14_1_tumorales.csv,dysplasia_FA_HN11A_2_tumorales.csv,stroma_ad_dysplasia_FA_HN15_3_tumorales.csv,dysplasia_FA_HN11A_4_tumorales.csv,stroma_ad_dysplasia_FA_HN14_2_tumorales.csv,dysplasia_FA_HN11A_3_tumorales.csv,stroma_ad_dysplasia_FA_HN11A_3_tumorales.csv
carcinoma_FA_HN14_3_tumorales.csv,0.0,6807.528787956141,inf,6468.393101189138,5582.924886247294,7831.035662340197,6591.348718775327,6758.462527299426,7161.8864606351035,6337.020054943453,7437.441800638227,inf,6298.280038636249,inf,6514.400939095898,inf,3425.684463914834,inf,7767.364543477269,5196.967464653646,6989.612396644749,1192.9414949501859,5152.782178708147,inf,inf,inf,inf,inf,7318.980388740145,4840.3067339098425,8220.474442552944,5736.5742043887,inf,3420.110928452883,inf,6122.045452760148,5478.144258707902,3922.8699155487116,8435.28347041683,inf,7100.172626297778,5478.8626263255555,6040.105490965262,inf,inf
carcinoma_FA_HN15_1_tumorales.csv,6807.528787956141,0.0,inf,2508.6705843936224,3026.3542028577112,6775.429250617205,3737.789445752651,1866.5254267649645,1638.0244565368632,3798.206762974285,3318.4596001791615,inf,1590.850010306591,inf,2873.9035164916104,inf,3448.4188096372427,inf,6692.7425028202915,1836.6087051016484,2600.9741088707756,5656.866722514775,3094.265666383099,inf,inf,inf,inf,inf,2060.876168013686,6308.632452489231,6435.496717654585,3277.545460039453,inf,3864.94017664222,inf,3553.500653668584,2624.51119034784,3244.414538821864,5768.423450080099,inf,776.9145440282554,1959.6310949086,3144.150510457317,inf,inf
carcinoma_FA_HN11A_5_tumorales.csv,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,1591.6851264710035,inf,inf,inf,inf,inf,inf,inf,inf,inf,863.4437855026989,449.5757137029052,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN14_3_tumorales.csv,6468.393101189138,2508.6705843936224,inf,0.0,4895.731048188161,9153.434746406108,6162.1440441210925,4274.184424974135,3982.9611582066605,6220.806762178849,1854.3819280653422,inf,3879.6584941896303,inf,5256.886513103791,inf,3676.819280122689,inf,9070.937246910533,2298.873191383306,5040.0320959609535,5289.596459583869,5204.90812439869,inf,inf,inf,inf,inf,4363.570254592114,4758.823941405049,8885.550893918788,5480.585652122809,inf,4393.890382493724,inf,5841.753621894574,4610.379071943582,2850.303569041589,8186.960958253327,inf,2341.499678334922,4268.416192950014,5253.816173213323,inf,inf
stroma_ad_dysplasia_FA_HN14_4_tumorales.csv,5582.924886247294,3026.3542028577112,inf,4895.731048188161,0.0,4317.804053174426,1596.6061253387086,1792.0360678135257,2093.1022342909505,1670.8494681001573,6047.175836966691,inf,1761.3197937889754,inf,1023.5481309680683,inf,2487.0483735472585,inf,4237.17980233893,3264.8625616894415,1564.1217917760541,4625.387889584169,745.81306632425,inf,inf,inf,inf,inf,2079.8942230099333,7237.763632637458,4125.475340499085,1190.0546871011256,inf,2245.4416320059677,inf,1051.9125274912121,995.9145701735595,3566.410647536446,3741.8706809179175,inf,3161.532923138432,1198.200561432286,555.351666509823,inf,inf
stroma_ad_dysplasia_FA_HN15_1_tumorales.csv,7831.035662340197,6775.429250617205,inf,9153.434746406108,4317.804053174426,0.0,3363.7285930792486,5201.679699886509,5265.472150645863,3400.927085164974,9929.469576895233,inf,5658.477287661912,inf,4003.1317130726757,inf,6059.9156374094155,inf,87.7110517609785,7315.597531735159,4530.944741421131,7575.899513248432,3969.802109057096,inf,inf,inf,inf,inf,5568.504016796469,10973.02393735702,1077.5947027281727,4068.335534574268,inf,5262.595330980871,inf,3340.905568563582,4859.813124480753,7381.299704850746,1729.2566392006865,inf,7116.187686662313,4919.557994051044,4005.5127547133125,inf,inf
carcinoma_FA_HN11A_2_tumorales.csv,6591.348718775327,3737.789445752651,inf,6162.1440441210925,1596.6061253387086,3363.7285930792486,0.0,1993.6951091073115,2323.397014956056,509.92442834570693,6780.55121662977,inf,2501.170226445058,inf,1028.3715614351074,inf,3827.909570481634,inf,3280.683514043826,4177.906023918459,1369.1653300936282,5806.801639101395,1648.856619135095,inf,inf,inf,inf,inf,2283.7784852876794,8740.417021902933,2746.948578156859,936.6838420767203,inf,3243.4424036586333,inf,727.905017578395,1676.7672807456913,4946.538293652371,2165.0187625666904,inf,4053.31041409926,2178.324025381887,1233.8706737819202,inf,inf
dysplasia_FA_HN15_1_tumorales.csv,6758.462527299426,1866.5254267649645,inf,4274.184424974135,1792.0360678135257,5201.679699886509,1993.6951091073115,0.0,726.2062945429539,2124.7915512365444,4938.707836530598,inf,997.8068733800765,inf,1344.7621443258604,inf,3347.858895216328,inf,5119.459796112249,2707.6323057985437,865.5156671436055,5636.505008462056,2035.2950380140956,inf,inf,inf,inf,inf,846.0299850199876,7499.119635359609,4656.987887640082,1965.9265295392875,inf,3484.8447567015974,inf,2119.1654306022056,1604.424853070273,3921.1017724086664,3941.92549788263,inf,2280.5669418563784,1297.1566863563357,1756.9787825129424,inf,inf
carcinoma_FA_HN14_2_tumorales.csv,7161.8864606351035,1638.0244565368632,inf,3982.9611582066605,2093.1022342909505,5265.472150645863,2323.397014956056,726.2062945429539,0.0,2513.876368789863,4852.097146236406,inf,1206.4901989234672,inf,1517.5953077698523,inf,3756.6367424496602,inf,5183.517347077427,2951.496663891475,1141.0923492088284,6045.141213213379,2388.630311337794,inf,inf,inf,inf,inf,782.2965940813656,7618.231099527141,4957.1145816898015,2519.3376629732225,inf,3873.377304673103,inf,2277.6506881889713,2165.551743576658,4212.770677450361,4253.78705447985,inf,2102.893256117449,1695.1853252896647,1948.6858842630645,inf,inf
carcinoma_FA_HN11A_4_tumorales.csv,6337.020054943453,3798.206762974285,inf,6220.806762178849,1670.8494681001573,3400.927085164974,509.92442834570693,2124.7915512365444,2513.876368789863,0.0,6822.952789782372,inf,2476.7046046028136,inf,1264.4991836248455,inf,3742.408274288428,inf,3318.060521202447,4221.160446539165,1542.2508156558654,5625.889383952669,1619.6002069160252,inf,inf,inf,inf,inf,2397.4020667102886,8731.670371623473,2691.3768200475333,835.4186340858814,inf,3070.6602449709853,inf,875.7747182189531,1716.0050518748967,4932.254214878977,2229.2873153049363,inf,4066.9953692101435,2184.0177441579485,1465.38295743199,inf,inf
