,carcinoma_FA_HN11A_3_total.csv,stroma_ad_dysplasia_FA_HN11A_2_total.csv,stroma_ad_dysplasia_FA_HN15_5_total.csv,stroma_ad_carcinoma_FA_HN11A_1_total.csv,stroma_ad_dysplasia_FA_HN15_2_total.csv,stroma_ad_carcinoma_FA_HN11A_2_total.csv,dysplasia_FA_HN15_2_total.csv,stroma_ad_dysplasia_FA_HN15_4_total.csv,carcinoma_FA_HN14_4_total.csv,stroma_ad_carcinoma_FA_HN14_5_total.csv,carcinoma_FA_HN11A_1_total.csv,dysplasia_FA_HN15_3_total.csv,stroma_ad_dysplasia_FA_HN14_2_total.csv,carcinoma_FA_HN11A_4_total.csv,carcinoma_FA_HN15_1_total.csv,carcinoma_FA_HN14_2_total.csv,dysplasia_FA_HN11A_3_total.csv,carcinoma_FA_HN11A_5_total.csv,stroma_ad_carcinoma_FA_HN15_4_total.csv,stroma_ad_dysplasia_FA_HN14_4_total.csv,dysplasia_FA_HN11A_2_total.csv,stroma_ad_dysplasia_FA_HN15_1_total.csv,dysplasia_FA_HN11A_5_total.csv,dysplasia_FA_HN14_2_total.csv,dysplasia_FA_HN15_5_total.csv,stroma_ad_dysplasia_FA_HN11A_3_total.csv,carcinoma_FA_HN11A_2_total.csv,carcinoma_FA_HN14_3_total.csv,stroma_ad_dysplasia_FA_HN11A_5_total.csv,stroma_ad_carcinoma_FA_HN14_3_total.csv,stroma_ad_carcinoma_FA_HN15_3_total.csv,stroma_ad_dysplasia_FA_HN11A_4_total.csv,stroma_ad_dysplasia_FA_HN14_1_total.csv,stroma_ad_carcinoma_FA_HN14_2_total.csv,dysplasia_FA_HN11A_4_total.csv,stroma_ad_dysplasia_FA_HN15_3_total.csv,dysplasia_FA_HN11A_1_total.csv,stroma_ad_dysplasia_FA_HN11A_1_total.csv,carcinoma_FA_HN14_1_total.csv,stroma_ad_carcinoma_FA_HN14_1_total.csv,dysplasia_FA_HN14_1_total.csv,dysplasia_FA_HN15_1_total.csv,stroma_ad_carcinoma_FA_HN14_4_total.csv,stroma_ad_carcinoma_FA_HN15_1_total.csv,stroma_ad_carcinoma_FA_HN15_2_total.csv,stroma_ad_dysplasia_FA_HN14_3_total.csv,carcinoma_FA_HN15_2_total.csv
carcinoma_FA_HN11A_3_total.csv,2.008989414367053e-308,inf,inf,226.36558175930446,146.43752137814386,226.36558175930446,238.62683999688443,inf,193.02122679949744,131.68559528708153,147.65167505138206,270.25537663268557,226.36558175930446,267.7352741637402,154.88328542467454,180.23776573350852,226.36558175930446,226.36558175930446,226.36558175930446,224.6194178276245,121.91166352157711,inf,128.64576188827738,167.0918786261587,174.69536588872117,inf,197.74923508762555,155.32318404580735,inf,226.36558175930446,171.4503877280427,inf,148.68261048956438,153.56700814074276,124.78090743236957,147.1582818454014,226.36558175930446,inf,153.067441106145,101.83166632284323,196.6047826724472,218.29285816338316,184.63172515136284,145.999209219344,226.36558175930446,144.38489521948793,208.10223867366756
stroma_ad_dysplasia_FA_HN11A_2_total.csv,inf,1.114995613790233e-308,34.19296712629312,inf,inf,inf,inf,131.27885923869394,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,31.955523201379275,inf,inf,inf,11.042271129232972,inf,inf,60.2705589838191,inf,inf,27.490425449979423,inf,inf,inf,inf,inf,15.877188526314953,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_dysplasia_FA_HN15_5_total.csv,inf,34.19296712629312,8.67327255292906e-309,inf,inf,inf,inf,129.3766681647329,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,11.404130126651635,inf,inf,inf,42.53176116742129,inf,inf,36.112732027033985,inf,inf,51.64825240676454,inf,inf,inf,inf,inf,21.648973925553165,inf,inf,inf,inf,inf,inf,inf,inf,inf
stroma_ad_carcinoma_FA_HN11A_1_total.csv,226.36558175930446,inf,inf,2.0135329827708777e-308,96.81077655219309,40.4130209291167,255.6561268307941,inf,227.690901233521,111.56270264325542,237.87888111520562,331.69712030045105,44.61561982362002,360.23321884117456,232.74705403968542,227.23240405688102,66.79701577262139,42.1663646469975,45.04640660244915,52.25718103246578,141.97546164039983,inf,114.60253604205957,106.11055769048298,203.13780002709515,inf,78.41938381295722,143.4916573921082,inf,57.51661001136091,86.94095934912977,inf,147.87393049608724,89.68128978959417,179.78641621554738,134.9040493786089,36.29952886562078,inf,145.91908269119358,200.8859036746191,97.99212904110811,266.89969561156863,88.56980893352679,224.32840438504994,67.5398971947027,125.98530759300505,240.64659868707827
stroma_ad_dysplasia_FA_HN15_2_total.csv,146.43752137814386,inf,inf,96.81077655219309,1.2309102556753556e-308,137.2237974813098,218.3707514299933,inf,162.2087837902061,59.71187713803393,169.46412008994616,331.69712030045105,91.62256953512343,360.23321884117456,159.20046593890575,148.17116597329698,84.96717311977423,93.41431484412641,87.26158755266908,78.18189644948063,45.16468508820673,inf,58.895942556769626,54.319301516985654,106.32702347490208,inf,51.31171370948172,51.763439527839125,inf,153.14682107023253,39.31817602281682,inf,92.40590226201402,82.16497342224693,82.97563966335427,93.17975976637177,106.65822075720591,inf,59.6917597004157,104.07512712242601,58.723181606791,227.50574908267222,42.644250701683404,142.3631666296348,97.29713583897777,84.7372864784794,174.99955523369147
stroma_ad_carcinoma_FA_HN11A_2_total.csv,226.36558175930446,inf,inf,40.4130209291167,137.2237974813098,8.961943069074847e-309,255.6561268307941,inf,227.690901233521,151.9757235723721,237.87888111520562,331.69712030045105,54.551343020923355,360.23321884117456,232.74705403968542,227.23240405688102,52.25662436153556,43.80948263718337,49.962209928640696,60.56645408423026,175.7291636143359,inf,155.01555697117627,116.56944023329496,206.31033280768358,inf,85.91208377182807,176.4872614901901,inf,41.24273749197156,112.21093113141093,inf,178.67839804217962,130.09431071871086,194.63464090190968,168.58077215794592,35.23462446060165,inf,177.70097413973278,205.18438463144554,99.9296157590652,266.89969561156863,100.98240002470837,224.32840438504994,48.074198973639845,143.07481654069085,240.64659868707827
dysplasia_FA_HN15_2_total.csv,238.62683999688443,inf,inf,255.6561268307941,218.3707514299933,255.6561268307941,1.6064207299946797e-308,inf,94.63412655316358,238.62683999688443,181.9503298910048,152.08198693931394,255.6561268307941,209.15418402076097,167.48710914441978,116.77814852675186,255.6561268307941,255.6561268307941,255.6561268307941,255.6561268307941,224.5081855816693,inf,238.62683999688443,236.6013553698028,127.86294821632657,inf,255.6561268307941,166.6073119021542,inf,255.6561268307941,230.031477871022,inf,179.8884590146401,238.62683999688443,221.63894167087682,182.93711630296605,255.6561268307941,inf,171.11879778147892,238.62683999688443,255.18587281542648,121.72423122196739,243.2128152943421,185.2552615550809,255.6561268307941,199.16759246174206,104.13001975681249
stroma_ad_dysplasia_FA_HN15_4_total.csv,inf,131.27885923869394,129.3766681647329,inf,inf,inf,inf,2.0082827993322583e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,131.27885923869394,inf,inf,inf,131.27885923869394,inf,inf,98.97577291240172,inf,inf,131.27885923869394,inf,inf,inf,inf,inf,131.27885923869394,inf,inf,inf,inf,inf,inf,inf,inf,inf
carcinoma_FA_HN14_4_total.csv,193.02122679949744,inf,inf,227.690901233521,162.2087837902061,227.690901233521,94.63412655316358,inf,5.74772641464504e-309,191.5620650585961,181.08495694144787,208.01243813386014,227.690901233521,265.0846352153071,146.41480612576314,139.42492052612246,227.690901233521,227.690901233521,227.690901233521,227.27005677605757,149.24700025090868,inf,191.5620650585961,169.74251757459177,106.1096900832083,inf,200.39987403605863,114.58819938586993,inf,227.690901233521,174.10102667647578,inf,120.70838513101978,191.5620650585961,138.35768756407316,117.7311856499408,227.690901233521,inf,151.40195788983826,191.5620650585961,199.25542162088027,94.64249639007997,187.2823640997959,103.5535293149037,227.690901233521,143.23714126719585,62.3211182385946
stroma_ad_carcinoma_FA_HN14_5_total.csv,131.68559528708153,inf,inf,111.56270264325542,59.71187713803393,151.9757235723721,238.62683999688443,inf,191.5620650585961,5.795194230355624e-309,154.71219399888383,331.69712030045105,106.37449562618575,360.23321884117456,144.44853984784345,134.37090852375778,99.71909921083656,108.16624093518874,102.01351364373141,92.93382254054295,62.069959909024604,inf,64.10537646627009,66.53062944330964,123.28610883418307,inf,75.82667899485696,84.54174514835543,inf,160.5227841157637,83.15336986067297,inf,120.70838513101978,43.26650053998448,115.52097310245912,102.98470517812922,116.74109911177047,inf,80.03025926903072,89.32320103136368,80.5711499960442,212.7538229916099,52.94612986428132,127.61124053857247,112.0490619300401,123.39235827931265,196.3100116604205
